Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
95             194.78         21.24          0           3           196.08         1.30             217.32         22.54          
96             197.72         1.04           -1          2           197.72         0.00             198.76         1.04           
97             199.49         7.30           -1          2           199.49         0.00             206.78         7.30           
98             201.00         4.44           0           1           201.80         0.79             206.23         5.23           
99             203.01         33.85          -1          0           203.01         0.00             236.86         33.85          
100            207.65         0.17           -1          1           207.65         0.00             207.82         0.17           
101            209.84         3.79           -1          1           209.84         0.00             213.64         3.79           
102            215.57         15.50          -1          1           215.57         0.00             231.07         15.50          
103            217.01         2.50           -1          2           217.01         0.00             219.51         2.50           
104            220.23         3.51           -1          2           220.23         0.00             223.74         3.51           
105            225.43         2.44           -1          2           225.43         0.00             227.88         2.44           
106            231.42         0.40           -1          1           231.42         0.00             231.81         0.40           
107            231.78         1.52           -1          2           231.78         0.00             233.30         1.52           
108            232.92         1.19           -1          1           232.92         0.00             234.10         1.19           
109            235.42         0.81           -1          1           235.42         0.00             236.24         0.81           
110            237.03         4.59           -1          0           237.03         0.00             241.62         4.59           
111            238.54         10.62          -1          1           238.54         0.00             249.16         10.62          
112            239.95         0.70           -1          2           239.95         0.00             240.64         0.70           
113            240.96         15.53          -1          2           240.96         0.00             256.49         15.53          
114            245.49         2.17           -1          0           245.49         0.00             247.66         2.17           
115            247.27         3.78           -1          3           247.27         0.00             251.05         3.78           
116            249.69         5.58           -1          0           249.69         0.00             255.28         5.58           
117            251.56         2.02           -1          1           251.56         0.00             253.58         2.02           
118            251.82         1.33           -1          3           251.82         0.00             253.15         1.33           
119            254.24         18.26          -1          1           254.24         0.00             272.50         18.26          
120            259.03         1.18           -1          0           259.03         0.00             260.21         1.18           
121            262.65         9.17           -1          0           262.65         0.00             271.82         9.17           
122            269.43         2.17           -1          2           269.43         0.00             271.60         2.17           
123            269.98         0.23           -1          3           269.98         0.00             270.21         0.23           
124            272.34         2.48           -1          0           272.34         0.00             274.83         2.48           
125            278.88         9.50           -1          0           278.88         0.00             288.38         9.50           
126            279.14         1.55           -1          1           279.14         0.00             280.70         1.55           
127            282.85         7.80           -1          1           282.85         0.00             290.65         7.80           
128            282.91         3.43           -1          2           282.91         0.00             286.34         3.43           
129            282.96         1.54           -1          3           282.96         0.00             284.50         1.54           
130            283.48         4.17           0           3           284.50         1.02             288.67         5.19           
131            287.76         0.11           -1          2           287.76         0.00             287.87         0.11           
132            291.65         19.26          -1          0           291.65         0.00             310.90         19.26          
133            292.62         5.45           -1          1           292.62         0.00             298.07         5.45           
134            296.61         0.80           -1          2           296.61         0.00             297.41         0.80           
135            297.86         2.88           -1          2           297.86         0.00             300.74         2.88           
136            303.01         5.00           -1          1           303.01         0.00             308.01         5.00           
137            303.12         6.82           -1          2           303.12         0.00             309.94         6.82           
138            313.54         3.10           -1          0           313.54         0.00             316.64         3.10           
139            315.77         0.21           -1          1           315.77         0.00             315.98         0.21           
140            315.80         9.73           -1          2           315.80         0.00             325.53         9.73           
141            319.32         5.84           -1          0           319.32         0.00             325.17         5.84           
142            322.11         1.89           -1          1           322.11         0.00             324.00         1.89           
143            322.48         11.03          -1          3           322.48         0.00             333.51         11.03          
144            323.93         4.71           0           1           324.00         0.06             328.71         4.78           
145            324.67         3.21           0           0           325.17         0.50             328.38         3.72           
146            325.21         7.83           0           2           325.53         0.32             333.36         8.15           
147            326.13         16.99          0           0           328.38         2.25             345.37         19.24          
148            326.98         4.84           0           1           328.71         1.73             333.55         6.56           
149            332.58         0.56           0           2           333.36         0.78             333.92         1.35           
150            337.17         2.02           -1          1           337.17         0.00             339.20         2.02           
151            339.11         2.32           -1          2           339.11         0.00             341.43         2.32           
152            342.49         0.91           -1          1           342.49         0.00             343.40         0.91           
153            343.07         1.36           -1          2           343.07         0.00             344.43         1.36           
154            343.96         3.03           -1          1           343.96         0.00             346.98         3.03           
155            344.67         9.63           -1          2           344.67         0.00             354.30         9.63           
156            344.92         3.57           -1          3           344.92         0.00             348.49         3.57           
157            345.49         2.82           -1          0           345.49         0.00             348.30         2.82           
158            351.03         4.51           -1          0           351.03         0.00             355.54         4.51           
159            352.12         4.09           -1          1           352.12         0.00             356.22         4.09           
160            352.34         40.69          -1          3           352.34         0.00             393.02         40.69          
161            353.86         3.19           0           2           354.30         0.44             357.49         3.63           
162            353.98         7.71           0           0           355.54         1.56             363.24         9.26           
163            354.23         18.19          0           1           356.22         1.98             374.41         20.17          
164            354.51         1.68           0           2           357.49         2.98             359.17         4.67           
165            354.70         8.52           0           2           359.17         4.47             367.69         12.99          
166            355.18         3.36           0           0           363.24         8.06             366.60         11.42          
167            356.32         14.69          0           0           366.60         10.28            381.29         24.97          
168            357.80         2.73           0           2           367.69         9.89             370.43         12.63          
169            359.54         1.69           0           2           370.43         10.89            372.12         12.58          
170            360.96         12.82          0           2           372.12         11.15            384.94         23.98          
171            362.38         13.48          0           1           374.41         12.02            387.89         25.51          
172            362.83         19.37          0           0           381.29         18.46            400.66         37.83          
173            364.02         2.98           0           2           384.94         20.92            387.92         23.91          
174            365.42         4.77           0           1           387.89         22.47            392.66         27.25          
175            366.67         0.69           0           2           387.92         21.26            388.61         21.95          
176            368.93         0.29           0           2           388.61         19.68            388.90         19.97          
177            371.97         12.91          0           2           388.90         16.93            401.81         29.84          
178            374.56         1.97           0           1           392.66         18.10            394.64         20.07          
179            374.74         5.16           0           3           393.02         18.28            398.18         23.44          
180            376.55         9.73           0           1           394.64         18.08            404.37         27.82          
181            377.14         28.31          0           3           398.18         21.04            426.49         49.35          
185            387.17         6.27           0           0           400.66         13.48            406.93         19.75          
186            387.36         5.23           0           2           401.81         14.44            407.04         19.68          
188            389.80         7.04           0           1           404.37         14.56            411.41         21.61          
189            396.76         8.89           0           0           406.93         10.16            415.82         19.06          
190            398.80         2.97           0           2           407.04         8.24             410.01         11.21          
191            398.98         2.67           0           2           410.01         11.03            412.68         13.70          
192            400.29         5.60           0           1           411.41         11.12            417.01         16.72          
193            401.31         28.64          0           2           412.68         11.37            441.32         40.00          
194            402.82         0.30           0           0           415.82         13.00            416.12         13.29          
195            404.27         4.10           0           0           416.12         11.85            420.21         15.95          
196            404.28         1.88           0           1           417.01         12.73            418.89         14.61          
197            406.18         4.61           0           1           418.89         12.71            423.50         17.32          
198            412.43         10.50          0           0           420.21         7.78             430.71         18.28          
199            413.09         11.85          0           1           423.50         10.41            435.35         22.26          
200            414.11         2.67           0           3           426.49         12.38            429.16         15.05          
201            414.55         0.43           0           3           429.16         14.61            429.59         15.04          
202            415.41         4.84           0           3           429.59         14.19            434.43         19.02          
203            415.82         4.79           0           0           430.71         14.89            435.50         19.68          
204            415.93         12.94          0           3           434.43         18.50            447.37         31.43          
205            416.34         0.12           0           1           435.35         19.01            435.47         19.13          
206            417.69         2.89           0           1           435.47         17.78            438.36         20.67          
207            422.29         11.94          0           0           435.50         13.21            447.44         25.15          
208            422.51         3.91           0           1           438.36         15.85            442.27         19.76          
210            424.26         3.32           0           2           441.32         17.05            444.63         20.37          
