Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
0              0.64           5.83           -1          0           0.64           0.00             6.47           5.83           
1              9.54           13.82          -1          0           9.54           0.00             23.36          13.82          
2              11.54          2.75           -1          1           11.54          0.00             14.29          2.75           
3              15.28          1.15           -1          1           15.28          0.00             16.43          1.15           
4              19.16          1.80           -1          1           19.16          0.00             20.96          1.80           
5              23.07          2.84           -1          1           23.07          0.00             25.91          2.84           
6              26.06          9.11           -1          0           26.06          0.00             35.17          9.11           
7              26.34          2.54           -1          1           26.34          0.00             28.88          2.54           
8              26.88          1.00           0           1           28.88          2.00             29.88          3.00           
9              30.78          9.03           -1          1           30.78          0.00             39.81          9.03           
10             31.24          2.56           0           0           35.17          3.93             37.73          6.49           
11             31.81          5.66           0           0           37.73          5.92             43.39          11.58          
12             35.38          5.41           0           1           39.81          4.43             45.23          9.84           
13             37.80          5.43           0           0           43.39          5.59             48.82          11.02          
14             39.80          17.39          0           1           45.23          5.42             62.61          22.81          
15             40.08          15.65          0           0           48.82          8.74             64.47          24.39          
16             40.22          1.48           0           1           62.61          22.39            64.09          23.87          
17             40.37          17.39          0           1           64.09          23.72            81.49          41.11          
18             40.55          4.99           0           0           64.47          23.93            69.46          28.91          
19             40.74          0.20           0           0           69.46          28.72            69.66          28.92          
20             40.75          0.89           0           0           69.66          28.92            70.56          29.81          
21             41.22          3.21           0           0           70.56          29.33            73.76          32.54          
22             41.86          5.66           0           0           73.76          31.90            79.42          37.56          
23             43.78          15.44          0           0           79.42          35.65            94.87          51.09          
24             52.20          6.73           0           1           81.49          29.29            88.22          36.02          
25             53.58          4.07           0           1           88.22          34.64            92.29          38.71          
30             63.49          15.68          0           1           92.29          28.80            107.97         44.48          
32             65.20          3.16           0           0           94.87          29.67            98.03          32.83          
33             66.28          1.50           0           0           98.03          31.75            99.53          33.25          
37             70.78          2.63           0           0           99.53          28.75            102.16         31.38          
38             72.80          9.42           0           0           102.16         29.36            111.58         38.78          
39             73.38          0.58           0           1           107.97         34.58            108.55         35.17          
40             74.42          3.89           0           1           108.55         34.13            112.44         38.02          
43             80.54          3.79           0           0           111.58         31.04            115.37         34.82          
44             81.58          0.28           0           1           112.44         30.85            112.72         31.14          
49             88.39          19.42          0           1           112.72         24.33            132.14         43.75          
50             93.31          2.22           0           0           115.37         22.05            117.59         24.28          
51             95.98          5.23           0           0           117.59         21.61            122.82         26.84          
54             99.16          1.45           0           0           122.82         23.66            124.27         25.11          
55             101.53         2.36           0           0           124.27         22.75            126.63         25.10          
56             102.95         9.66           0           0           126.63         23.68            136.29         33.34          
59             109.41         0.99           0           1           132.14         22.73            133.13         23.73          
60             110.94         13.05          0           1           133.13         22.19            146.18         35.24          
61             115.94         0.10           0           0           136.29         20.35            136.39         20.45          
62             120.94         8.59           0           0           136.39         15.44            144.98         24.03          
63             120.96         0.26           0           0           144.98         24.01            145.24         24.28          
64             121.16         10.95          0           0           145.24         24.08            156.19         35.03          
65             122.14         12.99          0           1           146.18         24.04            159.17         37.03          
66             123.80         14.69          0           0           156.19         32.39            170.88         47.07          
68             125.11         2.12           0           1           159.17         34.07            161.30         36.19          
69             132.11         0.18           0           1           161.30         29.19            161.47         29.36          
70             135.84         0.51           0           1           161.47         25.63            161.98         26.14          
71             139.84         0.01           0           1           161.98         22.14            162.00         22.15          
72             139.89         3.40           0           1           162.00         22.11            165.40         25.51          
73             140.34         0.30           0           1           165.40         25.06            165.70         25.36          
74             145.66         19.99          0           1           165.70         20.04            185.69         40.03          
75             145.80         4.38           0           0           170.88         25.08            175.25         29.46          
77             149.03         3.72           0           0           175.25         26.23            178.98         29.95          
79             157.41         6.39           0           0           178.98         21.57            185.37         27.96          
82             159.92         11.26          0           0           185.37         25.45            196.63         36.71          
83             162.07         14.79          0           1           185.69         23.62            200.48         38.41          
84             162.79         6.26           0           0           196.63         33.84            202.89         40.10          
85             163.18         2.69           0           1           200.48         37.30            203.16         39.98          
86             163.56         12.40          0           0           202.89         39.34            215.29         51.74          
89             166.69         4.19           0           1           203.16         36.47            207.35         40.66          
90             166.93         13.09          0           1           207.35         40.42            220.44         53.51          
92             174.61         3.12           0           0           215.29         40.68            218.41         43.79          
93             176.58         4.25           0           0           218.41         41.83            222.66         46.08          
97             181.12         0.33           0           1           220.44         39.32            220.77         39.65          
100            186.42         6.11           0           1           220.77         34.35            226.88         40.46          
101            188.57         12.70          0           0           222.66         34.09            235.36         46.79          
104            197.33         2.85           0           1           226.88         29.55            229.73         32.40          
106            201.33         0.37           0           1           229.73         28.39            230.10         28.77          
107            204.28         8.82           0           1           230.10         25.82            238.92         34.64          
108            209.51         1.04           0           0           235.36         25.85            236.40         26.89          
109            213.97         5.31           0           0           236.40         22.43            241.71         27.74          
110            219.37         4.55           0           1           238.92         19.55            243.47         24.10          
111            221.20         4.44           0           0           241.71         20.51            246.15         24.94          
112            222.17         13.92          0           1           243.47         21.30            257.39         35.22          
113            222.97         0.17           0           0           246.15         23.18            246.32         23.35          
114            225.64         6.59           0           0           246.32         20.67            252.91         27.27          
115            227.45         3.79           0           0           252.91         25.46            256.70         29.25          
117            231.25         15.50          0           0           256.70         25.45            272.20         40.94          
118            238.33         4.32           0           1           257.39         19.06            261.71         23.38          
119            240.76         3.51           0           1           261.71         20.95            265.22         24.46          
120            242.77         2.44           0           1           265.22         22.45            267.66         24.90          
121            254.05         17.95          0           1           267.66         13.61            285.61         31.56          
122            259.78         0.81           0           0           272.20         12.42            273.01         13.23          
123            260.61         4.81           0           0           273.01         12.40            277.82         17.21          
124            263.83         4.20           0           0           277.82         13.98            282.02         18.18          
125            269.03         13.60          0           0           282.02         12.98            295.61         26.58          
126            269.16         2.17           0           1           285.61         16.45            287.78         18.62          
