Welcome to the Bank Simulation!
We need some information to initialize your simulation...
How many tellers will you have? How many hours will your bank be open? How many customers do you expect per hour? What is the average transaction time (in minutes) of a customer? How many people can wait in your bank? Enter a seed: 
Customer ID    Arrival Time   Service Time   Queue Loc   Teller Loc  Time Serv Beg  Time Cust Waits  Time Serv Ends Total Time     
0              0.64           5.83           -1          0           0.64           0.00             6.47           5.83           
1              9.54           13.82          -1          0           9.54           0.00             23.36          13.82          
2              11.54          2.75           -1          1           11.54          0.00             14.29          2.75           
3              15.28          1.15           -1          1           15.28          0.00             16.43          1.15           
4              19.16          1.80           -1          1           19.16          0.00             20.96          1.80           
5              23.07          2.84           -1          1           23.07          0.00             25.91          2.84           
6              26.06          9.11           -1          0           26.06          0.00             35.17          9.11           
7              26.34          2.54           -1          1           26.34          0.00             28.88          2.54           
8              26.88          11.71          -1          2           26.88          0.00             38.59          11.71          
9              27.21          1.39           0           1           28.88          1.67             30.26          3.06           
10             30.22          10.71          0           1           30.26          0.04             40.97          10.75          
11             30.79          6.00           0           0           35.17          4.38             41.17          10.37          
12             31.65          0.01           0           2           38.59          6.94             38.60          6.95           
13             34.07          1.43           0           2           38.60          4.53             40.03          5.96           
14             35.95          5.43           0           2           40.03          4.07             45.46          9.50           
15             36.23          25.27          0           1           40.97          4.74             66.24          30.01          
16             38.04          17.39          0           0           41.17          3.13             58.55          20.52          
17             38.18          4.14           0           2           45.46          7.28             49.60          11.42          
18             38.33          7.48           0           2           49.60          11.27            57.08          18.75          
19             38.50          4.99           0           2           57.08          18.57            62.07          23.56          
20             38.70          3.24           0           0           58.55          19.85            61.79          23.09          
21             39.33          3.01           0           0           61.79          22.46            64.81          25.47          
22             41.25          1.17           0           2           62.07          20.82            63.24          21.99          
23             46.47          0.20           0           2           63.24          16.77            63.44          16.97          
24             46.63          0.89           0           2           63.44          16.81            64.33          17.70          
25             48.33          3.21           0           2           64.33          16.00            67.54          19.21          
26             51.46          6.06           0           0           64.81          13.34            70.86          19.40          
27             53.89          5.66           0           1           66.24          12.35            71.90          18.01          
28             54.38          3.38           0           2           67.54          13.16            70.92          16.54          
31             61.89          15.44          0           0           70.86          8.98             86.31          24.42          
32             62.69          3.13           0           2           70.92          8.23             74.05          11.36          
33             64.99          0.27           0           1           71.90          6.91             72.17          7.17           
34             65.58          3.05           0           1           72.17          6.59             75.22          9.64           
35             66.61          0.17           0           2           74.05          7.43             74.22          7.60           
36             68.97          4.07           0           2           74.22          5.25             78.29          9.33           
37             71.61          14.78          0           1           75.22          3.61             90.00          18.39          
38             73.85          15.68          0           2           78.29          4.44             93.97          20.11          
39             74.13          1.50           0           0           86.31          12.17            87.81          13.67          
40             79.49          2.63           0           0           87.81          8.31             90.44          10.94          
41             82.16          9.42           0           1           90.00          7.84             99.42          17.26          
42             83.22          6.02           0           0           90.44          7.22             96.45          13.24          
43             83.45          0.58           0           2           93.97          10.52            94.55          11.10          
44             85.15          3.89           0           2           94.55          9.40             98.43          13.29          
45             86.40          3.79           0           0           96.45          10.06            100.24         13.84          
46             88.76          0.28           0           2           98.43          9.68             98.72          9.96           
47             90.18          19.42          0           2           98.72          8.54             118.14         27.96          
48             90.43          2.22           0           1           99.42          8.99             101.64         11.22          
49             94.63          15.01          0           0           100.24         5.61             115.25         20.62          
50             96.17          0.05           0           1           101.64         5.48             101.70         5.53           
51             101.17         0.60           0           1           101.70         0.53             102.30         1.13           
52             102.91         2.94           -1          1           102.91         0.00             105.85         2.94           
53             104.57         2.36           0           1           105.85         1.28             108.21         3.64           
54             105.06         9.66           0           1           108.21         3.15             117.87         12.82          
55             105.08         0.99           0           0           115.25         10.17            116.24         11.16          
56             106.36         13.05          0           0           116.24         9.88             129.29         22.93          
57             113.37         0.10           0           1           117.87         4.51             117.97         4.60           
58             117.10         8.59           0           1           117.97         0.87             126.56         9.46           
59             121.10         0.14           -1          2           121.10         0.00             121.23         0.14           
60             121.54         15.96          -1          2           121.54         0.00             137.51         15.96          
61             121.63         12.99          0           1           126.56         4.93             139.55         17.92          
62             125.28         14.11          0           0           129.29         4.01             143.40         18.12          
63             125.42         1.14           0           2           137.51         12.09            138.65         13.23          
64             125.66         2.12           0           2           138.65         12.98            140.77         15.11          
65             128.65         0.18           0           1           139.55         10.90            139.73         11.07          
66             132.33         0.51           0           1           139.73         7.39             140.24         7.90           
67             137.23         0.01           0           1           140.24         3.01             140.25         3.02           
68             138.08         3.40           0           1           140.25         2.17             143.65         5.57           
69             139.36         2.17           0           2           140.77         1.41             142.94         3.58           
70             141.50         4.15           0           2           142.94         1.44             147.09         5.59           
71             141.89         0.30           0           0           143.40         1.51             143.70         1.81           
72             142.27         19.99          0           1           143.65         1.38             163.64         21.37          
73             142.32         0.72           0           0           143.70         1.38             144.43         2.11           
74             144.02         17.90          0           0           144.43         0.40             162.32         18.30          
75             145.74         5.90           0           2           147.09         1.36             153.00         7.26           
76             147.20         7.26           0           2           153.00         5.80             160.25         13.06          
77             148.44         14.79          0           2           160.25         11.82            175.04         26.61          
78             148.90         9.61           0           0           162.32         13.42            171.93         23.03          
79             150.48         1.91           0           1           163.64         13.15            165.55         15.07          
80             150.72         6.26           0           1           165.55         14.83            171.81         21.10          
81             152.97         2.69           0           1           171.81         18.84            174.50         21.53          
82             155.10         8.84           0           0           171.93         16.83            180.77         25.67          
83             155.24         4.19           0           1           174.50         19.26            178.69         23.45          
84             157.98         15.68          0           2           175.04         17.06            190.73         32.74          
85             161.74         13.39          0           1           178.69         16.95            192.08         30.34          
86             163.89         16.20          0           0           180.77         16.89            196.97         33.09          
87             168.81         8.02           0           2           190.73         21.92            198.74         29.93          
88             168.88         5.43           0           1           192.08         23.20            197.50         28.62          
89             172.81         0.37           0           0           196.97         24.16            197.34         24.53          
90             176.94         8.82           0           0           197.34         20.40            206.17         29.22          
91             181.31         21.24          0           1           197.50         16.20            218.74         37.43          
92             182.35         5.31           0           2           198.74         16.40            204.05         21.71          
93             183.76         4.44           0           2           204.05         20.29            208.49         24.72          
